Measurement,Date,File,Population,Rearing_temp,Measurement_temp,Channel,Vial_started,Eclosed,Age,Sex,Mass_mg,Notes,Chamber,cycle,median_co2_ul.h,median_time,median_temp,mean_activity,median_activity,activity_state,quality,source.data
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,1,February 23,March 9,6,F,1.6,,1,1,3.6308439,782.5,19.88775,NA,NA,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,2,February 23,March 9,6,M,1.06,,2,1,2.5486491,900.5,19.92645,NA,NA,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,3,February 23,March 9,6,F,1.5,,3,1,2.3876034,1020.5,19.94305,0.334,0.085,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,4,February 24,March 10,5,F,1.42,,4,1,2.1746022,1140.5,19.94505,NA,NA,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,5,February 24,March 10,5,F,1.6,,5,1,2.4836892,1260,19.9434,NA,NA,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,6,February 24,March 10,5,F,1.65,,6,1,2.4255453,1379.5,19.9523,NA,NA,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,7,February 24,March 10,5,F,1.57,,7,1,2.251383,1499,19.949,NA,NA,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,8,February 24,March 10,5,F,1.45,,8,1,2.3320806,1617,19.9453,NA,NA,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,9,February 24,March 10,5,F,1.56,,9,1,2.6965596,1735,19.9559,NA,NA,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,10,February 24,March 10,5,F,1.5,,10,1,2.2778211,1854.5,19.9482,NA,NA,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,11,February 24,March 10,5,F,1.5,,11,1,2.7407808,1974.5,19.94485,NA,NA,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,12,February 24,March 10,5,F,1.67,,12,1,3.1747272,2094.5,19.94915,NA,NA,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,13,February 24,March 10,5,F,1.3,,13,1,3.3735486,2214,19.948,0.85769231,0.21,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,14,February 24,March 10,5,F,1.32,,14,1,3.7286589,2333.5,19.9407,NA,NA,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,15,February 24,March 10,5,F,1.46,,15,1,4.2133773,2453.5,19.93875,NA,NA,Inactive,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
1,03/15/2022,001-FH-25-20C,Forest Hills,25,20,16,February 24,March 10,5,F,1.26,,16,1,4.4089491,2573.5,19.93965,5.78714286,4.38,Active,pass,001-FH-25-20C-2022-03-15_trans_isol_R.csv
,,,,,,,,,,,,,,,,,,,,,,
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,1,February 23,March 10,6,F,1.42,,1,1,1.9426413,425.5,4.8249,NA,NA,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,2,February 23,March 10,6,F,1.51,,2,1,0.9666624,543.5,4.77385,NA,NA,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,3,February 23,March 10,6,M,1,,3,1,0.31729857,663.5,4.7392,NA,NA,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,4,February 23,March 10,6,F,1.34,,4,1,0.38847213,783.5,4.7161,0.40318182,0.2,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,5,February 23,March 10,6,F,1.57,,5,1,0.58839744,903,4.6836,0.44727273,0.15,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,6,February 23,March 10,6,F,1.45,,6,1,0.38436585,1022.5,4.6726,NA,NA,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,7,February 23,March 10,6,F,1.63,,7,1,0.44802966,1142.5,4.6659,NA,NA,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,8,February 24,March 11,5,F,1.32,,8,1,0.32229654,1262,4.6552,NA,NA,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,9,February 24,March 11,5,F,1.24,,9,1,0.40511391,1380.5,4.647,0.256,0.085,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,10,February 24,March 11,5,F,1.34,,10,1,0.4885095,1499.5,4.6419,NA,NA,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,11,February 24,March 11,5,M,1.02,,11,1,0.6514245,1619.5,4.6394,NA,NA,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,12,February 24,March 11,5,F,1.24,,12,1,0.42234732,1739.5,4.6375,NA,NA,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,13,February 24,March 11,5,F,1.25,,13,1,0.6853557,1859.5,4.63765,NA,NA,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,14,February 24,March 11,5,M,1.18,,14,1,0.4705836,1979.5,4.64955,NA,NA,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,15,February 24,March 11,5,F,1.37,,15,1,1.218723,2099.5,4.6435,1.23901639,0.63,Active,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
2,03/16/2022,002-FH-25-05C,Forest Hills,25,5,16,February 24,March 11,5,F,1.34,,16,1,1.1295015,2219.5,4.63505,NA,NA,Inactive,pass,002-FH-25-05C-2022-03-16_trans_isol_R.csv
,,,,,,,,,,,,,,,,,,,,,,
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,1,February 23,March 10,6,F,1.61,,1,1,9.951918,416,30.1186,1.38347222,0.57,Active,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,2,February 23,March 10,6,F,1.06,not healthy looking,2,1,7.919907,533.5,30.1288,NA,NA,Inactive,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,3,February 23,March 10,6,F,1.37,,3,1,7.333059,653.5,30.1404,3.54111111,0.92,Active,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,4,February 23,March 10,6,F,1.34,,4,1,10.913976,772.5,30.1408,5.70034483,4.08,Active,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,5,February 24,March 11,5,F,1.34,,5,1,8.909508,891.5,30.137,8.57858586,6.84,Active,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,6,February 24,March 11,5,F,1.33,,6,1,12.984468,1011.5,30.14455,7.20159292,4.42,Active,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,7,February 24,March 11,5,F,1.45,,7,1,11.056851,1131.5,30.1429,7.46475,4.475,Active,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,8,February 24,March 11,5,F,1.29,not healthy looking,8,1,7.749705,1251.5,30.1404,NA,NA,Inactive,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,9,February 24,March 11,5,F,1.5,,9,1,8.976153,1371.5,30.15275,0.54181818,0.2,Inactive,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,10,February 24,March 11,5,F,1.56,,10,1,11.348886,1491.5,30.15245,4.25840909,2.65,Active,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,11,February 24,March 11,5,M,1.06,,11,1,6.568956,1611.5,30.1444,1.88487179,0.51,Active,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,12,February 24,March 11,5,F,1.39,,12,1,8.440368,1731.5,30.1477,14.9959167,12.68,Active,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,13,February 24,March 11,5,F,1.33,,13,1,9.199896,1851.5,30.1539,7.82583333,4.01,Active,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,14,February 24,March 11,5,F,1.74,,14,1,8.960916,1970.5,30.15305,9.65698276,7.435,Active,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,15,February 24,March 11,5,M,0.89,,15,1,6.294648,2089,30.1491,7.18619048,3.21,Active,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
3,03/16/2022,003-FH-25-30C,Forest Hills,25,30,16,February 24,March 11,5,M,0.96,,16,1,6.431616,2208,30.1512,9.55630252,7.3,Active,pass,003-FH-25-30C-2022-03-16_trans_isol_R.csv
,,,,,,,,,,,,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,1,February 23,March 16,5,M,0.91,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,2,February 24,March 16,5,M,1.01,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,3,February 24,March 16,5,M,1,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,4,February 24,March 16,5,M,1.07,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,5,February 24,March 16,5,M,1.11,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,6,February 24,March 16,5,M,1.06,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,7,February 24,March 16,5,M,0.97,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,8,February 24,March 16,5,M,0.96,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,9,February 24,March 16,5,M,0.88,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,10,February 24,March 16,5,F,1.44,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,11,February 24,March 16,5,F,1.56,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,12,February 24,March 16,5,M,1.01,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,13,February 24,March 16,5,M,1.07,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,14,February 24,March 16,5,M,0.97,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,15,February 24,March 16,5,M,0.92,,,,,,,,,,,
4,03/21/2022,004-FH-25-05C,Forest Hills,25,5,16,February 24,March 16,5,F,1.21,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,1,February 24,March 16,5,M,1.29,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,2,February 24,March 16,5,M,0.9,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,3,February 24,March 16,5,M,0.99,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,4,February 24,March 16,5,M,1.1,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,5,February 24,March 16,5,F,1.26,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,6,February 24,March 16,5,M,1.02,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,7,February 24,March 16,5,M,0.95,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,8,February 24,March 16,5,M,0.92,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,9,February 24,March 16,5,M,0.89,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,10,February 24,March 16,5,F,1.42,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,11,February 24,March 16,5,F,1.35,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,12,February 24,March 16,5,F,1.74,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,13,February 24,March 16,5,M,1,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,14,February 24,March 16,5,M,1.11,,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,15,February 24,March 16,5,,,empty,,,,,,,,,,
5,03/21/2022,005-FH-25-30C,Forest Hills,25,30,16,February 24,March 16,5,,,empty,,,,,,,,,,